deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
LIM0003_0152_P__20250513__Recuerdo_agradable__7pWd.wav,2.0572565,3.0188015,2.849322,2.293095,3.262648,NISQAv2
LIM0002_0007_P__20241018__Recuerdo_agradable__sXP0.wav,1.789402,3.645713,1.9906275,2.3191645,2.7180336,NISQAv2
LIM0007_0038_P__20250116__Re-narración_de_video__ym1i.wav,2.039904,3.7625604,2.2894862,2.3536396,2.4973717,NISQAv2
TUM0003_0003_P__20240920__Recuerdo_agradable__12ty.wav,2.1398582,3.6832893,2.1521993,2.5864851,3.3257778,NISQAv2
LIM0007_0092_P__20250410__Recuerdo_agradable__eoKR.wav,2.1210866,3.743157,2.0341,2.468484,3.2277443,NISQAv2
LIM0004_0050_A__20241218__Recuerdo_agradable__PKT4.wav,1.4859955,2.966427,2.1239483,2.2045007,2.4230344,NISQAv2
LIM0003_0103_A__20250312__Re-narración_de_video__fV9V.wav,1.865702,3.5236604,2.1267488,2.3360202,2.508728,NISQAv2
TUM0002_0141_A__20250310__Recuerdo_agradable__Sib5.wav,1.6588691,3.5103614,1.9906874,2.22829,2.959189,NISQAv2
LIM0006_0109_A__20250327__Re-narración_de_video__0P0R.wav,2.0707164,3.3394964,2.0533853,2.526676,3.3988702,NISQAv2
LIM0002_0091_A__20250307__Re-narración_de_video__Uq4A.wav,1.8246882,3.0172725,2.0240808,2.342869,3.0472038,NISQAv2
TUM0005_0329_P__20250507__Re-narración_de_video__k0Jf.wav,2.3016238,3.7364185,2.464406,2.416045,3.4502904,NISQAv2
LIM0007_0135_A__20250528__Re-narración_de_video__9FT2.wav,1.8131629,3.5079827,2.1910002,2.34194,2.4945261,NISQAv2
TUM0003_0171_P__20250313__Recuerdo_agradable__KjAK.wav,1.2223454,3.2910707,2.1430893,2.0865955,2.1361022,NISQAv2
LIM0008_0017_P__20241204__Re-narración_de_video__ztIs.wav,2.8244312,3.5771966,3.36927,3.2797377,3.7260945,NISQAv2
TUM0004_0092_P__20250120__Rutina__sakB.wav,1.7968745,2.946863,2.0803428,2.191357,2.6117938,NISQAv2
TUM0002_0230A__20250429__Re-narración_de_video__3azW.wav,1.4566061,3.08713,2.052471,2.1193354,2.3686368,NISQAv2
IQT0011_0116_A__20250327__Recuerdo_agradable__STCo.wav,2.0799093,3.4427693,2.1910903,2.5177422,3.3687985,NISQAv2
IQT0011_0156_P__20250409__Recuerdo_agradable__0ySc.wav,1.5080483,3.2609642,2.0955975,2.0424232,2.4136763,NISQAv2
IQT0008_0136p__20250516__Recuerdo_agradable__95OI.wav,2.0202663,3.4119663,2.2931197,2.3353908,3.1298943,NISQAv2
IQT0011_0380_P__20250609__Recuerdo_agradable__gnge.wav,1.3921515,1.8636923,3.1043267,2.0979598,1.6914865,NISQAv2
LIM0004_0004_A__20241011__Recuerdo_agradable__NdhD.wav,1.7150503,3.3824096,2.7001216,1.8829678,3.457456,NISQAv2
TUM0004_0247A__20250423__Rutina__4vnD.wav,1.1613142,2.9270768,2.229787,1.8870916,1.7172207,NISQAv2
TUM0004_0115_A__20241105__Rutina__SrCI.wav,1.8297329,3.5866685,2.2535822,2.2361624,3.2814732,NISQAv2
TUM0010_0087A__20241205__Recuerdo_agradable__vIfY.wav,1.9522704,3.4111385,2.6866999,2.2203712,3.0495126,NISQAv2
TUM0010_0337A__20250528__Rutina__Mxf0.wav,1.741417,3.4685435,2.3241467,2.3085525,2.5604894,NISQAv2
LIM0005_0005_P__20241030__Recuerdo_agradable__WU6b.wav,2.478123,3.599007,2.8325925,2.403413,3.2476528,NISQAv2
TUM0008_0298_A__20250604__Lámina_1__oIb7.wav,1.0579883,2.7848327,1.7738612,2.0163112,1.4915171,NISQAv2
TUM0003_0167_A__20250325__Recuerdo_agradable__3n1d.wav,1.8744473,2.9943655,4.2518845,3.1436327,1.685163,NISQAv2
LIM0006_0053_P__20250124__Recuerdo_agradable__jdsW.wav,2.3995261,3.8556998,2.613962,2.8682754,3.7171607,NISQAv2
HUAOOO5_0129P__20250503__Recuerdo_agradable__sEUp.wav,1.9051808,3.7960138,2.1343136,2.5429523,2.7614605,NISQAv2
LIM0004_0060_P__20250122__Rutina__nSnV.wav,1.9376506,3.300232,2.2246614,2.3095095,3.2727654,NISQAv2
LIM0002_0187_A__20250606__Rutina__4CjT.wav,1.9787034,3.4108846,2.15011,2.3905828,3.451121,NISQAv2
TUM0009_0288_A__20250526__Recuerdo_agradable__goev.wav,2.0841787,3.135155,2.2811244,2.30647,3.2561429,NISQAv2
LIM0005_0115_P__20250324__Recuerdo_agradable__s3HT.wav,1.2437822,3.25745,1.9038107,1.9635904,1.9427527,NISQAv2
TUM0009_0198A__20250327__Recuerdo_agradable__c1rg.wav,1.6730137,3.4712589,1.9683497,2.162466,2.7733176,NISQAv2
