id,STOI,PESQ,SI-SDR
PRUEBA__Audifono_4__20250522__Recuerdo_agradable__DwDm.wav,0.8265287280082703,1.3235061168670654,6.9274444580078125
TUM0004_0126_A__20241111__Recuerdo_agradable__U5Kk.wav,0.8208783864974976,1.510483741760254,5.677969455718994
LIM0004_0014_P__20241011__Recuerdo_agradable__o8gZ.wav,0.9282447099685669,2.1422600746154785,16.285804748535156
LIM0004_0103_A__20250317__Lámina_1__1DoJ.wav,0.897132396697998,2.0629868507385254,8.862730026245117
LIM0007_0129_A__20250602__Lámina_1__n6kE.wav,0.8549569845199585,1.7097830772399902,14.07405948638916
LIM0004_0007_A__20241017__Recuerdo_agradable__fB2S.wav,0.8411939144134521,1.4887363910675049,8.916386604309082
LIM0004_0054_P__20250114__Rutina__msYT.wav,0.9110098481178284,1.9454323053359985,11.630176544189453
TUM0003_0065_A__20241206__Rutina__LnRd.wav,0.9607369899749756,2.2484688758850098,14.974173545837402
LIM0007_0113_A__20250514__Recuerdo_agradable__wlAv.wav,0.9225395917892456,2.0388100147247314,11.577481269836426
IQT0012_0073_A__20250402__Recuerdo_agradable__ReIk.wav,0.8081473112106323,1.5725305080413818,9.156485557556152
LIM0007_0001_A__20241009__Recuerdo_agradable__OvXQ.wav,0.7006138563156128,1.3606441020965576,1.6453291177749634
TUM0007_0187_A__20250416__Rutina__pZSR.wav,0.9214603900909424,2.576662063598633,15.596117973327637
TUM0003_0286_A__20250611__Recuerdo_agradable__UDjz.wav,0.8322881460189819,1.4652849435806274,5.422771453857422
TUM0008_0090__20241213__Rutina__WklP.wav,0.9454222917556763,2.6258974075317383,16.443607330322266
IQT0007_0212_P__20250409__Re-narración_de_video__igur.wav,0.8860273957252502,1.3287912607192993,0.261687695980072
IQT0011_0150_A__20250408__Re-narración_de_video__Z21M.wav,0.8591177463531494,1.65452241897583,6.4464521408081055
LIM0007_0092_A__20250410__Rutina__lxIp.wav,0.9280933737754822,2.2205653190612793,10.71725082397461
TUM0009_0283_A__20250527__Lámina_1__OQYX.wav,0.918219804763794,2.300924777984619,9.114426612854004
HUA0004_0068A__20250129__Recuerdo_agradable__MGE2.wav,0.9132052063941956,1.4979617595672607,3.9979817867279053
LIM0003_0154_P__20250509__Rutina__cnj2.wav,0.8823239207267761,1.9104397296905518,14.481858253479004
PRUEBATum01_0001_P__20250227__Rutina__PhkZ.wav,0.7144477963447571,1.298163652420044,-0.42933979630470276
TUM0004_0082_A__20241022__Recuerdo_agradable__aBk4.wav,0.9016343951225281,1.8404970169067383,10.318745613098145
TUM0004_0109A__20250125__Rutina__BJLp.wav,0.9381675124168396,1.526230812072754,11.223998069763184
LIM0007_0031_A__20241115__Recuerdo_agradable__JAiB.wav,0.9170085191726685,1.8636863231658936,10.249335289001465
LIM0002_0002_P__20241026__Rutina__wJh3.wav,0.9430104494094849,2.3664612770080566,14.589640617370605
TUM0009_0169_A__20250305__Recuerdo_agradable__pVRC.wav,0.9007875323295593,1.8074731826782227,8.805193901062012
LIM0004_0103_P__20250317__Rutina__rnyO.wav,0.8685536980628967,1.798018217086792,10.618393898010254
IQT0012_0065_A__20250326__Recuerdo_agradable__7OGD.wav,0.734211266040802,1.3329130411148071,1.9504497051239014
LIM0008_0088_A__20250312__Recuerdo_agradable__HdV1.wav,0.8306635618209839,1.419619083404541,3.168384552001953
TUM0002_0236_P__20250503__Recuerdo_agradable__dKqg.wav,0.8807055950164795,2.012517213821411,10.22873592376709
LIM0007_0077_P__20250313__Recuerdo_agradable__vFoF.wav,0.9155521988868713,2.1815295219421387,12.101122856140137
LIM0004_0013_P__20241110__Recuerdo_agradable__a5rL.wav,0.8239989876747131,1.7686083316802979,10.434277534484863
LIM0002_0098_A__20250318__Re-narración_de_video__zA6z.wav,0.8492926359176636,1.301295280456543,5.9732818603515625
LIM0007_0049_A__20250116__Lámina_1__JMg0.wav,0.9409348368644714,1.936226487159729,9.779664993286133
LIM0007_0005_P__20241016__Recuerdo_agradable__PPvu.wav,0.9706655144691467,2.7865381240844727,17.54410743713379
LIM0005_0035__20241111__Re-narración_de_video__Twxn.wav,0.9352384209632874,2.1027824878692627,13.013538360595703
TUM0007_0209_A__20250523__Rutina__rmWs.wav,0.9461422562599182,2.669041633605957,13.97541332244873
LIM0010_0010_A__20250117__Recuerdo_agradable__LT9T.wav,0.7402063608169556,1.1495856046676636,1.71550714969635
LIM0002_0097_P__20250324__Recuerdo_agradable__zr53.wav,0.7976422905921936,1.331951379776001,4.797353744506836
