id,STOI,PESQ,SI-SDR,MOS,MOS_z_score_vs_ref,MOS_percentile_rank_vs_ref,PESQ_z_score_vs_ref,PESQ_percentile_rank_vs_ref,STOI_z_score_vs_ref,STOI_percentile_rank_vs_ref,SI-SDR_z_score_vs_ref,SI-SDR_percentile_rank_vs_ref
IQT0012_0065_A__20250326__Recuerdo_agradable__7OGD.wav,0.734211266040802,1.33291304111481,1.9504497051239,1.9316715,0.35971795140185975,67.64324924443348,-0.36760374824413833,50.95910688953309,0.2445269419067924,54.25276013075926,0.1025657486952503,51.85961882440017
LIM0008_0088_A__20250312__Recuerdo_agradable__HdV1.wav,0.830663561820984,1.41961908340454,3.16838455200195,1.5548517,-0.4428055184523836,36.10682785419108,-0.12382025549751112,61.03127120212175,0.7947714326065543,72.87361993462036,0.2304001003861825,56.35601060877074
TUM0002_0236_P__20250503__Recuerdo_agradable__dKqg.wav,0.88070559501648,2.01251721382141,10.2287359237671,1.1555339,-1.293243596362734,7.364460618022574,1.5431774906686762,91.34645037932523,1.0802530050928152,82.77925121815827,0.9714540595805642,81.19410349719361
LIM0007_0077_P__20250313__Recuerdo_agradable__vFoF.wav,0.915552198886871,2.18152952194214,12.1011228561401,1.4361254,-0.695660177997757,25.732436933325108,2.0183740248751634,94.69561463023499,1.2790471514030093,89.85998889779806,1.1679796538913096,86.80071547523592
LIM0004_0013_P__20241110__Recuerdo_agradable__a5rL.wav,0.823998987674713,1.7686083316803,10.4342775344849,1.4203576,-0.7292412944039751,24.3261580213409,0.8574010715167646,83.93881453154876,0.7567511327559087,71.47967680256583,0.993027691880331,81.86023561339665
LIM0002_0098_A__20250318__Re-narración_de_video__zA6z.wav,0.849292635917664,1.30129528045654,5.97328186035156,1.6797905,-0.17671992715536222,47.239869240732745,-0.4565005300894438,46.14198482699069,0.9010472377143679,76.43866033429963,0.5248019149755432,66.26780978227347
LIM0007_0049_A__20250116__Lámina_1__JMg0.wav,0.940934836864471,1.93622648715973,9.77966499328613,2.3457763,1.2416483090404373,88.35502374637636,1.328677793547043,89.41590082032936,1.4238509281677574,94.41805958181706,0.92431960784168,79.8186640350336
LIM0007_0005_P__20241016__Recuerdo_agradable__PPvu.wav,0.970665514469147,2.78653812408447,17.5441074371338,2.6238306,1.8338281829321295,95.24455683710602,3.7194216828822886,99.05014494541417,1.5934595561886682,98.40868438907049,1.7392749140266324,96.79886510824646
LIM0005_0035__20241111__Re-narración_de_video__Twxn.wav,0.935238420963287,2.10278248786926,13.0135383605957,2.59605,1.7746630766754183,94.67094307037561,1.7969681516192206,93.36951828779374,1.3913538119404314,93.5792265465984,1.2637467179373187,89.38506137050514
TUM0007_0209_A__20250523__Rutina__rmWs.wav,0.946142256259918,2.66904163360596,13.9754133224487,1.9092706,0.31201013988065524,66.08277308332819,3.389067487512507,98.58755319805094,1.453558399720721,95.26306050700055,1.3647050429835275,91.48214395855177
